Per Tar Summary:
2402_047: .gz = 0, .pdf = 0
2104_034: .gz = 0, .pdf = 0
2408_053: .gz = 0, .pdf = 0
1910_035: .gz = 133, .pdf = 133
2406_083: .gz = 0, .pdf = 0
2109_016: .gz = 0, .pdf = 0
2410_150: .gz = 0, .pdf = 0
2409_043: .gz = 0, .pdf = 0
2103_019: .gz = 0, .pdf = 0
2109_029: .gz = 0, .pdf = 0
2105_052: .gz = 0, .pdf = 0
2305_080: .gz = 0, .pdf = 0
1602_012: .gz = 0, .pdf = 0
2112_025: .gz = 0, .pdf = 0
1811_009: .gz = 134, .pdf = 134
2411_005: .gz = 51, .pdf = 51
1504_006: .gz = 233, .pdf = 233
2311_083: .gz = 0, .pdf = 0
2107_019: .gz = 0, .pdf = 0
2104_020: .gz = 0, .pdf = 0
1309_008: .gz = 0, .pdf = 0
1903_022: .gz = 0, .pdf = 0
2406_134: .gz = 0, .pdf = 0
1012_006: .gz = 0, .pdf = 0
2209_037: .gz = 0, .pdf = 0
2211_081: .gz = 0, .pdf = 0
1912_035: .gz = 34, .pdf = 34
2207_044: .gz = 0, .pdf = 0
2410_002: .gz = 94, .pdf = 94
2108_028: .gz = 0, .pdf = 0
2104_007: .gz = 0, .pdf = 0
1605_004: .gz = 298, .pdf = 298
2402_078: .gz = 0, .pdf = 0
2306_102: .gz = 0, .pdf = 0
1510_003: .gz = 232, .pdf = 232
2406_056: .gz = 0, .pdf = 0
2203_074: .gz = 0, .pdf = 0
2309_066: .gz = 0, .pdf = 0
2311_056: .gz = 0, .pdf = 0
2302_073: .gz = 0, .pdf = 0
2307_034: .gz = 0, .pdf = 0
2301_047: .gz = 0, .pdf = 0
1510_018: .gz = 0, .pdf = 0
2408_016: .gz = 0, .pdf = 0
1107_003: .gz = 313, .pdf = 313
2308_057: .gz = 0, .pdf = 0
0212_001: .gz = 1552, .pdf = 1552
2312_019: .gz = 0, .pdf = 0
1802_003: .gz = 241, .pdf = 241
1606_010: .gz = 216, .pdf = 216
2304_003: .gz = 6, .pdf = 6
1612_013: .gz = 0, .pdf = 0
2104_026: .gz = 0, .pdf = 0
1808_002: .gz = 256, .pdf = 256
1205_003: .gz = 219, .pdf = 219
2309_005: .gz = 72, .pdf = 72
2104_017: .gz = 0, .pdf = 0
2310_086: .gz = 0, .pdf = 0
1906_033: .gz = 0, .pdf = 0
2304_018: .gz = 0, .pdf = 0
2304_085: .gz = 0, .pdf = 0
2110_019: .gz = 0, .pdf = 0
2211_072: .gz = 0, .pdf = 0
2205_044: .gz = 0, .pdf = 0
1710_028: .gz = 0, .pdf = 0
2401_085: .gz = 0, .pdf = 0
2202_006: .gz = 18, .pdf = 18
2012_027: .gz = 0, .pdf = 0
2307_007: .gz = 0, .pdf = 0
2303_068: .gz = 0, .pdf = 0
2406_116: .gz = 0, .pdf = 0
2402_074: .gz = 0, .pdf = 0
1608_016: .gz = 0, .pdf = 0
2407_109: .gz = 0, .pdf = 0
2209_014: .gz = 0, .pdf = 0
2010_002: .gz = 134, .pdf = 134
2311_116: .gz = 0, .pdf = 0
2407_115: .gz = 0, .pdf = 0
1812_011: .gz = 74, .pdf = 74
2109_051: .gz = 0, .pdf = 0
2307_026: .gz = 0, .pdf = 0
2105_039: .gz = 0, .pdf = 0
2010_050: .gz = 0, .pdf = 0
0609_002: .gz = 551, .pdf = 551
2307_017: .gz = 0, .pdf = 0
2406_091: .gz = 0, .pdf = 0
2403_053: .gz = 0, .pdf = 0
2206_040: .gz = 0, .pdf = 0
2308_088: .gz = 0, .pdf = 0
1105_005: .gz = 161, .pdf = 161
1804_025: .gz = 0, .pdf = 0
2407_008: .gz = 0, .pdf = 0
1707_013: .gz = 0, .pdf = 0
2211_003: .gz = 75, .pdf = 75
1307_014: .gz = 100, .pdf = 100
